earn,height,sex,race,ed,age
,67.47,female,white,12.0,22.0
20078.9661907246,69.1,female,white,12.0,64.0
39165.2382046526,64.15,female,white,16.0,50.0
32794.5406477114,65.02,female,white,14.0,43.0
31207.4500897519,61.19,female,white,12.0,50.0
15970.26222705,71.89,male,white,12.0,53.0
64610.3579806432,66.19,female,white,16.0,38.0
991.628909680612,61.91,female,white,10.0,61.0
995.090910576791,59.91,female,hispanic,10.0,52.0
39783.9469489965,67.85,male,white,14.0,68.0
39684.6241268197,70.08,male,white,12.0,28.0
39724.6811008388,71.13,male,white,14.0,36.0
30201.5172441044,71.51,male,white,16.0,65.0
70051.7508949032,68.28,male,white,16.0,52.0
1007.95714596412,65.81,female,white,12.0,23.0
1012.93115242453,63.07,female,white,18.0,59.0
24854.2035992486,60.32,female,white,14.0,53.0
28036.2730849519,63.06,female,white,12.0,40.0
38198.250803332,67.61,male,white,12.0,60.0
37585.5211136113,63.65,female,white,12.0,41.0
20628.2955187112,70.44,male,white,12.0,78.0
,67.81,male,white,16.0,50.0
12129.4641155017,60.95,female,white,12.0,67.0
63635.6570881354,67.78,male,white,18.0,67.0
24843.7543318963,66.4,female,white,17.0,47.0
31795.5788124066,69.7,male,white,16.0,29.0
31852.2062255474,70.62,male,white,12.0,54.0
32804.6545498774,64.76,female,white,12.0,46.0
40747.1407845328,66.06,female,white,12.0,53.0
77889.5763942784,69.9,male,white,13.0,41.0
1010.19089949095,63.84,female,white,12.0,40.0
1009.69186942175,63.0,female,white,16.0,39.0
40750.8830526368,61.39,female,white,,69.0
18480.6824537285,66.26,female,white,14.0,61.0
26423.1293431361,60.8,female,white,15.0,42.0
55572.0362132959,72.0,male,white,14.0,47.0
198835.433852258,74.22,male,white,18.0,49.0
37566.5366877765,66.83,female,white,12.0,51.0
28022.2375146568,66.01,female,white,16.0,32.0
1016.49101336236,62.09,female,white,13.0,35.0
43933.83836836,62.21,female,white,12.0,45.0
111301.925090235,72.23,male,white,14.0,36.0
56639.2874902506,65.17,female,white,15.0,51.0
16899.2307482988,60.07,female,white,12.0,66.0
56646.5578023636,61.91,female,white,15.0,43.0
24858.2973709503,66.01,female,white,12.0,42.0
20065.3040015574,64.06,female,white,12.0,43.0
12641.1483677478,71.01,male,white,12.0,72.0
13742.373319619,65.32,female,white,12.0,54.0
55575.0908182266,,male,white,18.0,54.0
71500.598919884,68.92,male,white,11.0,55.0
997.072456516123,64.04,female,white,12.0,62.0
24845.7392111286,64.09,female,white,14.0,26.0
24831.1444642002,61.37,female,white,12.0,81.0
,67.06,female,white,18.0,55.0
40770.5860160793,61.68,female,white,13.0,36.0
,62.82,female,black,14.0,58.0
31727.703584918,66.64,male,other,10.0,32.0
39154.2544457864,67.86,female,white,12.0,28.0
69902.4752117052,72.3,male,white,16.0,50.0
109708.748822754,69.94,male,white,12.0,42.0
98535.1068275004,69.96,male,white,18.0,48.0
,67.17,male,black,14.0,36.0
32810.0439602876,62.83,female,black,12.0,37.0
51892.9423880023,65.68,female,other,18.0,39.0
40756.069498211,65.9,female,white,17.0,54.0
270275.894207949,71.07,male,white,18.0,49.0
1001.22511774436,66.07,female,black,11.0,33.0
55728.5899158062,66.9,male,white,16.0,37.0
63516.2793540724,76.48,male,black,16.0,42.0
52438.922964203,68.71,male,white,14.0,34.0
29615.6153757967,65.41,female,white,12.0,26.0
48695.6588978653,61.92,female,white,13.0,47.0
42341.7892935171,61.97,female,white,12.0,35.0
8962.40245588917,61.72,female,white,12.0,25.0
32800.6355705226,62.29,female,white,16.0,77.0
28011.6417041634,60.95,female,white,12.0,34.0
,65.16,female,white,14.0,32.0
23868.1473946433,72.0,male,white,14.0,26.0
981.194900092476,65.92,female,white,17.0,45.0
79510.340661361,72.13,male,white,14.0,59.0
13722.141363414,63.85,female,white,12.0,43.0
63693.4110882131,71.29,male,white,14.0,55.0
63610.4749987873,72.43,male,white,15.0,45.0
52085.5294649461,65.85,male,white,12.0,38.0
32803.4792304162,65.0,female,white,,73.0
58230.5879236984,64.9,female,black,15.0,43.0
10542.8902094512,61.48,female,white,12.0,68.0
20095.5458305818,65.97,female,black,14.0,38.0
95430.6104210465,66.78,male,white,14.0,67.0
64613.0668228329,64.3,female,white,13.0,48.0
69383.4258503022,63.28,female,white,12.0,42.0
72549.3620022462,67.36,female,white,16.0,38.0
10522.9175006923,67.83,female,white,18.0,43.0
13718.4543920556,64.51,female,other,10.0,86.0
32796.9508717817,63.87,female,black,13.0,43.0
27064.549819231,66.1,male,black,12.0,27.0
4182.39423494047,65.48,female,white,12.0,36.0
103364.476394143,64.43,male,white,12.0,32.0
79469.6826737892,72.13,male,white,12.0,45.0
998.682558355125,67.92,female,white,11.0,58.0
998.684495526987,62.69,female,white,11.0,33.0
18477.7803339031,67.83,female,white,12.0,42.0
55628.230922933,74.41,male,white,18.0,34.0
42838.8607714631,63.1,male,white,12.0,37.0
6565.33123484257,63.75,female,white,12.0,65.0
66836.7602543026,68.19,male,white,12.0,41.0
32800.535842363,66.94,female,white,18.0,33.0
24847.4675748411,66.65,female,white,12.0,33.0
15859.5314446913,72.86,male,white,12.0,25.0
1003.64167432293,62.21,female,white,12.0,52.0
9490.29690448586,69.22,male,white,8.0,82.0
28032.1868635186,64.95,female,hispanic,16.0,27.0
55589.0943127064,68.9,male,hispanic,16.0,69.0
44516.112502923,77.02,male,white,14.0,32.0
24848.5150235251,68.07,female,white,12.0,37.0
32819.8518440008,62.2,female,white,17.0,28.0
32807.4666688853,64.07,female,white,12.0,33.0
16671.5011254779,66.55,male,hispanic,12.0,46.0
20550.1150385843,70.19,male,white,16.0,26.0
16894.1454216893,62.2,female,white,12.0,56.0
5768.92665868558,62.71,female,white,12.0,41.0
39157.5819181736,61.99,female,white,14.0,33.0
998.503387403771,62.81,female,white,17.0,45.0
,68.84,female,white,13.0,39.0
18494.0961370381,64.28,female,white,12.0,52.0
1028.7967089839,64.52,female,white,14.0,41.0
51883.97214454,68.63,female,white,14.0,44.0
28035.1640643814,59.06,female,white,15.0,30.0
5764.82640107653,66.36,female,other,12.0,39.0
1000.43844737019,64.97,female,white,12.0,45.0
4330.56327434975,62.0,female,black,12.0,25.0
5042.87288471185,75.18,male,black,11.0,38.0
28044.017605739,62.99,female,white,17.0,30.0
48696.6894978227,65.03,female,white,13.0,32.0
23793.5962873794,70.02,male,white,12.0,36.0
39169.7206103304,68.32,female,white,16.0,46.0
16889.5158551673,65.01,female,white,14.0,71.0
79469.6524162958,69.22,male,white,8.0,57.0
79521.0309906084,71.7,male,white,16.0,57.0
32811.1171608666,63.65,female,white,17.0,53.0
48692.7045921071,62.84,female,hispanic,18.0,58.0
1000.81650997941,63.41,female,white,12.0,67.0
1019.52175123961,65.4,female,white,10.0,52.0
986.055083445869,63.07,female,white,5.0,62.0
35986.0131003784,73.2,female,white,14.0,49.0
42903.3817816247,74.77,male,white,12.0,28.0
7363.89520150288,65.14,female,white,12.0,42.0
28828.8892012243,66.55,female,white,17.0,30.0
,65.93,female,white,14.0,32.0
45524.391056089,63.91,female,white,16.0,43.0
83682.9635299098,66.1,female,white,18.0,54.0
,63.68,female,white,16.0,33.0
31210.0450199533,62.71,female,white,13.0,36.0
998.792806987374,62.75,female,white,13.0,48.0
42834.4504315573,72.72,male,white,12.0,27.0
23793.0568258544,72.0,male,white,8.0,62.0
1004.68819257564,66.06,female,white,12.0,28.0
23873.5673156157,71.94,male,white,14.0,37.0
24035.958990178,63.9,female,white,12.0,59.0
39149.8127118589,64.24,female,white,13.0,34.0
28581.7197594866,68.16,male,white,15.0,40.0
7351.36224357467,61.96,female,white,12.0,72.0
7350.34389591184,68.48,female,white,13.0,61.0
2098.28255691469,59.46,female,white,12.0,40.0
39169.7501351968,64.79,female,white,12.0,95.0
42926.3869579729,,male,white,12.0,43.0
20091.4931673901,71.41,female,white,12.0,39.0
35985.2005008923,62.08,female,white,18.0,51.0
48698.2042696945,62.21,female,white,13.0,40.0
55616.9724786137,71.55,male,white,12.0,65.0
31836.5309592245,73.79,male,white,12.0,46.0
51897.557115687,65.16,female,white,16.0,36.0
10565.080348061,62.79,female,other,12.0,35.0
,66.52,female,white,12.0,43.0
989.32483001483,65.05,female,white,16.0,48.0
16893.650618774,62.93,female,white,12.0,35.0
2583.37635997833,65.01,female,white,12.0,22.0
,63.83,female,white,15.0,75.0
26434.5356297357,65.19,female,white,12.0,40.0
990.632829899077,67.9,female,white,16.0,45.0
40730.7869181018,62.87,female,white,16.0,37.0
40751.8595966049,69.96,female,white,12.0,31.0
50933.4879483364,68.62,male,white,12.0,34.0
55621.9374127112,66.75,male,white,14.0,47.0
10538.8367190333,65.05,female,white,12.0,32.0
127210.627675111,69.39,male,white,14.0,48.0
32799.5880325174,67.7,female,white,14.0,29.0
2598.33597751564,66.37,female,white,17.0,42.0
44502.6875350514,71.38,male,hispanic,13.0,42.0
41290.7032034576,63.87,male,hispanic,16.0,27.0
42946.1384264164,74.16,male,white,12.0,28.0
29617.1242132711,61.92,female,white,13.0,45.0
4203.92493626903,64.84,female,white,12.0,63.0
31774.6724028254,69.09,male,white,12.0,70.0
10547.6593411727,66.08,female,white,16.0,52.0
998.222937309824,60.16,female,white,10.0,72.0
39793.2360685558,66.6,male,white,11.0,67.0
19083.0662723967,72.94,male,white,12.0,33.0
982.603707126398,65.13,female,white,18.0,30.0
19019.4383518021,76.02,male,white,12.0,61.0
47621.5506990729,70.14,male,white,14.0,80.0
1002.02789557595,64.18,female,white,12.0,34.0
7352.90609561772,63.0,female,black,15.0,26.0
42344.141216902,62.96,female,black,13.0,41.0
36597.1185121691,70.04,male,black,12.0,39.0
33372.9363140627,71.27,male,white,12.0,37.0
40755.6601213819,65.19,female,white,12.0,66.0
28578.7772496041,69.48,male,white,16.0,79.0
7372.74244873303,63.48,female,white,13.0,48.0
39006.1541350665,64.11,female,white,12.0,26.0
56653.7613128414,63.44,female,white,18.0,44.0
41312.4117058859,67.15,male,white,14.0,34.0
39767.884119698,65.82,male,white,16.0,40.0
38374.9264949555,68.18,female,white,13.0,31.0
20079.9007989922,64.7,female,white,12.0,26.0
24856.3852622375,66.85,female,white,12.0,24.0
,72.62,male,white,17.0,27.0
10538.599791571,63.68,female,white,12.0,71.0
22284.6898628754,70.77,male,white,12.0,73.0
24851.1945376469,63.17,female,white,16.0,35.0
278213.531775569,71.05,male,white,16.0,52.0
1012.72857450333,62.7,female,white,12.0,55.0
1605.96493256327,72.85,male,white,18.0,29.0
,64.92,female,white,14.0,67.0
71575.5885980481,65.94,male,white,13.0,86.0
24854.2581843483,66.21,female,white,12.0,85.0
32804.552369449,59.0,female,white,13.0,45.0
55626.7507266474,69.9,male,white,16.0,34.0
63619.6597966112,71.96,male,white,16.0,32.0
56660.0517213774,64.27,female,white,12.0,76.0
80491.7059230187,65.48,female,white,16.0,58.0
159001.929910422,69.42,male,white,18.0,61.0
55744.0702635899,,male,white,13.0,32.0
1019.39370328577,65.85,female,white,12.0,55.0
39166.0892107678,68.19,female,white,12.0,39.0
,64.15,female,white,12.0,34.0
1016.64167481653,63.06,female,white,12.0,64.0
55597.0775538434,73.86,male,white,17.0,47.0
60429.4216733453,72.55,male,white,16.0,78.0
,67.35,male,white,12.0,56.0
8958.40683258562,64.3,female,hispanic,12.0,43.0
,66.72,male,white,18.0,42.0
47782.4465201032,69.45,male,white,12.0,36.0
11338.9470357351,63.76,female,white,15.0,35.0
5765.71378324095,,female,white,16.0,41.0
,65.94,female,white,8.0,57.0
36713.0878336217,69.45,male,white,18.0,73.0
63544.160094039,67.69,male,white,17.0,45.0
47713.2746225333,71.77,male,white,14.0,43.0
998.346114761212,63.09,female,white,14.0,33.0
23257.5590577062,63.09,female,white,12.0,41.0
24843.7923614691,68.86,female,white,12.0,38.0
42347.4010321721,63.75,female,white,18.0,40.0
13720.5614863724,71.45,female,white,12.0,29.0
39159.796830908,63.98,female,black,16.0,31.0
-12.0167137832365,72.08,male,white,8.0,24.0
1013.27147701205,62.27,female,white,12.0,29.0
988.758787012582,65.93,female,white,10.0,42.0
8181.73028203835,65.8,male,white,8.0,71.0
16889.8103273437,60.72,female,white,15.0,29.0
1016.50273906467,69.1,female,white,13.0,23.0
20100.2642571535,68.3,female,white,16.0,36.0
999.845388435426,65.9,female,white,12.0,27.0
79521.0347468327,67.87,male,white,17.0,38.0
37551.8483983486,63.61,female,white,13.0,30.0
1016.37310656959,61.0,female,white,16.0,44.0
63578.5962735478,65.98,male,black,14.0,38.0
10543.6518922358,61.86,female,black,13.0,30.0
8955.40314951583,64.86,female,black,16.0,34.0
174917.848536018,65.81,male,white,18.0,41.0
65089.763788033,72.05,male,hispanic,13.0,36.0
37562.8527389814,62.95,female,white,13.0,82.0
1000.54221572545,63.1,female,white,12.0,36.0
33354.9444670964,69.91,male,white,12.0,27.0
7358.5069793707,62.02,female,white,12.0,33.0
39763.7660650055,71.11,male,white,12.0,40.0
47665.4186748928,69.84,male,white,18.0,50.0
23255.7192646579,64.04,female,white,11.0,55.0
10546.2705351933,63.34,female,white,12.0,39.0
23266.3819801947,65.03,female,white,12.0,50.0
68461.3756361159,70.81,male,white,12.0,31.0
40750.2315198708,61.87,female,white,15.0,37.0
63533.925247467,73.05,male,white,12.0,70.0
103313.622213574,67.86,male,white,17.0,44.0
25439.9094368504,,male,white,15.0,36.0
13715.9034686946,65.99,female,white,12.0,75.0
32795.5150089862,64.02,female,white,15.0,43.0
23259.2826084242,60.01,female,white,14.0,76.0
71637.552888116,67.86,male,white,12.0,78.0
13712.7662216597,61.18,female,white,11.0,76.0
19065.5179466674,66.13,male,white,12.0,32.0
13735.4075238793,63.02,female,white,14.0,35.0
26440.4988768348,62.85,female,white,15.0,36.0
9579.8456488705,73.86,male,white,15.0,77.0
30173.6300852123,69.92,male,white,12.0,36.0
34396.1596986703,68.26,female,white,13.0,43.0
69369.6365028672,69.64,female,white,18.0,50.0
55664.3998002978,69.15,male,white,15.0,25.0
12747.0423371962,69.42,male,white,10.0,79.0
34385.4430522478,62.74,female,white,14.0,45.0
10233.0797957323,65.15,female,white,12.0,34.0
27082.7070995351,68.85,male,white,12.0,50.0
38087.3220223372,68.15,male,white,14.0,53.0
8935.97929440994,62.14,female,white,11.0,75.0
18489.6235991451,65.91,female,white,12.0,27.0
15920.5922048939,65.15,male,white,13.0,31.0
63608.3668031832,70.11,male,white,14.0,40.0
993.515449224117,66.0,female,black,12.0,41.0
63604.6309830045,70.06,male,white,12.0,51.0
39163.5186521581,66.36,female,black,14.0,33.0
38187.4073424178,68.23,male,white,16.0,30.0
31761.6801664963,67.77,male,white,16.0,37.0
95330.5448443733,69.87,male,white,18.0,54.0
18482.8594515788,65.28,female,white,13.0,51.0
8950.51549317265,63.91,female,white,15.0,44.0
43919.1420419723,64.88,female,white,16.0,34.0
141452.613413474,77.21,male,white,16.0,
63665.5948402963,70.36,male,white,14.0,32.0
24859.8151722343,64.15,female,white,16.0,30.0
2581.0429400068,63.83,female,white,14.0,24.0
998.726796716888,62.04,female,white,12.0,32.0
35995.1803431969,64.2,female,white,12.0,64.0
20086.1754557979,63.93,female,white,8.0,52.0
35968.8432808826,63.09,female,white,16.0,32.0
64581.9520540544,57.94,female,black,12.0,60.0
994.323952930143,66.0,female,white,12.0,62.0
64599.9564039253,62.1,female,white,16.0,48.0
995.486049534476,60.97,female,white,13.0,46.0
56649.7673340898,63.61,female,hispanic,14.0,57.0
12129.4184092628,64.22,female,white,12.0,32.0
23257.4531814882,61.35,female,white,12.0,41.0
24849.2645102664,64.06,female,white,12.0,60.0
997.060240519208,66.31,female,black,14.0,35.0
10536.8164690924,66.3,female,white,13.0,38.0
18491.4632477733,68.48,female,black,12.0,45.0
16894.8715844397,63.71,female,white,13.0,35.0
1004.08167170771,62.42,female,white,12.0,63.0
31776.7508647511,71.11,male,white,14.0,45.0
12132.2731355026,62.1,female,white,12.0,77.0
60439.3840685454,67.95,male,white,9.0,50.0
46075.0353918281,67.96,male,white,9.0,62.0
32794.3325793405,62.48,female,white,10.0,48.0
13726.4773008127,63.0,female,white,12.0,61.0
57180.2849042573,69.28,male,white,16.0,55.0
3396.41078804734,67.46,female,white,12.0,48.0
,63.84,female,white,18.0,33.0
39705.6238023595,69.96,male,white,12.0,26.0
20670.4756812433,69.3,male,white,10.0,24.0
47728.0991250952,69.4,male,black,11.0,55.0
11260.2857898754,69.05,male,white,12.0,27.0
50295.0102290679,59.96,female,black,12.0,52.0
24861.2188259363,66.62,female,black,12.0,46.0
987.153288063948,59.86,female,white,18.0,45.0
79449.0780155172,66.77,male,white,16.0,53.0
,66.39,male,white,15.0,24.0
1955.16818716443,69.87,female,black,12.0,22.0
23250.1981515703,63.89,female,black,8.0,55.0
64598.4562971162,59.72,female,other,18.0,39.0
38212.8861850698,68.14,male,white,18.0,40.0
35071.3664810722,73.49,male,black,12.0,28.0
31732.0084520613,71.98,male,white,8.0,40.0
32973.46426248,63.69,female,white,12.0,42.0
19100.6126796045,66.85,male,white,13.0,71.0
66201.6869744607,66.88,female,white,13.0,44.0
20636.4454407762,70.68,male,black,9.0,54.0
1016.75164962538,63.23,female,white,12.0,29.0
95424.9084378097,73.21,male,white,16.0,35.0
38084.9099393145,69.94,male,white,16.0,29.0
60380.5619633035,69.85,male,white,16.0,40.0
5781.36536737211,71.49,female,white,14.0,31.0
21666.0178506817,66.05,female,white,12.0,34.0
7893.44745525963,75.04,male,white,12.0,25.0
32801.7096211093,59.83,female,white,14.0,41.0
34894.9420985275,71.97,male,white,12.0,32.0
990.366789688609,63.08,female,black,16.0,27.0
44509.7431378579,75.11,male,black,9.0,59.0
35983.4557169327,59.68,female,white,12.0,45.0
47725.9251418864,72.54,male,black,12.0,48.0
48687.901309322,64.93,female,black,12.0,36.0
47617.1421807931,67.12,male,white,16.0,35.0
51881.1137290279,60.77,female,white,12.0,73.0
42328.8007934413,69.0,female,white,17.0,47.0
35974.9467608756,64.05,female,white,14.0,38.0
39662.96205847,70.18,male,white,12.0,37.0
18481.473822349,68.24,female,white,10.0,28.0
21658.7263654599,62.09,female,white,12.0,57.0
16913.3676793106,64.15,female,white,15.0,46.0
1002.3923362722,67.76,female,white,12.0,28.0
20068.0607328364,68.05,female,white,12.0,49.0
56.3781338622286,66.18,male,white,13.0,61.0
12123.3789274287,64.22,female,white,11.0,68.0
90527.2378218376,72.92,male,white,14.0,41.0
57196.6301938738,73.38,male,white,16.0,41.0
46069.1445429611,68.71,male,hispanic,14.0,33.0
13727.1703803878,67.87,female,white,13.0,23.0
4831.58925740444,71.34,male,black,11.0,22.0
990.536028389992,63.2,female,white,12.0,68.0
32809.7265515796,66.19,female,white,16.0,45.0
995.475488386213,65.81,female,white,12.0,40.0
52457.2959876668,66.22,male,white,12.0,61.0
24864.5362144608,68.26,female,hispanic,12.0,72.0
25420.1296221833,69.66,male,white,12.0,37.0
8949.60197006944,62.17,female,white,12.0,82.0
13733.774868634,65.98,female,white,14.0,47.0
51874.5737440326,63.0,female,black,16.0,38.0
23102.781191952,74.97,male,white,12.0,28.0
21676.2738975494,66.86,female,white,12.0,33.0
1008.33879197347,62.22,female,white,10.0,24.0
12134.4467282926,63.24,female,white,9.0,29.0
80502.5320404378,65.44,female,black,18.0,69.0
20075.1124669118,68.84,female,black,12.0,39.0
30282.4673070547,71.33,male,white,14.0,65.0
15324.3810807192,62.23,female,white,12.0,59.0
32794.1983616288,64.92,female,black,12.0,39.0
,72.34,male,hispanic,18.0,39.0
16890.3326960442,65.12,female,white,12.0,44.0
21661.0075017285,62.9,female,white,12.0,23.0
32809.6662173545,64.34,female,white,,35.0
47708.8917890766,71.9,male,white,12.0,30.0
20074.666638086,64.39,female,white,12.0,38.0
42347.1664095893,70.17,female,white,13.0,37.0
20882.6809309634,65.09,female,white,12.0,31.0
13706.6343035933,64.38,female,white,12.0,33.0
24851.8480250879,64.12,female,hispanic,16.0,36.0
103274.093507014,67.05,male,white,14.0,29.0
39730.4007784177,,male,white,10.0,25.0
